,tweet,clean,injury_report,model_predictions
3612,"Raynel Espinal has been added to the Red Sox roster as the team is hit hard by COVID-19. The 29-year-old righty has been a solid piece of the @WooSox rotation this season going 9-4 with a 3.74 ERA, and 89 strikeouts over 91.1 IP. He also has an OBA of .203, and a 1.12 WHIP.",Raynel Espinal added Red Sox roster team hit hard COVID The yearold righty solid piece WooSox rotation season going ERA strikeouts IP He also OBA WHIP,1,0
3648,"Ancient history, buddy. Three times on the IL already this season for Tatis. Let me know when he plays close to an entire 162-game season. He’s stealing big money.",Ancient history buddy Three times IL already season Tatis Let know plays close entire game season He stealing big money,1,0
3692,@IsaacS19T Monty and Cole have covid,IsaacST Monty Cole covid,1,0
3717,That's now eight #RedSox players and two coaches positive for COVID-19. Two members of the travel party are close contacts.   Chaim Bloom added to media availability this afternoon. He speaks at 4.,Thats eight RedSox players two coaches positive COVID Two members travel party close contacts Chaim Bloom added media availability afternoon He speaks,1,0
3733,NEWS: Yankees call up Florial and place Amburgey on the IL.,NEWS Yankees call Florial place Amburgey IL,1,0
3767,Game 103 notes..The Nats and Cubs meet for the first time in DC since May 2019.  The Nats are 1-3 vs Cubs this year with Chicago winning the series at Wrigley in May.  Jake Arrieta comes off the IL to face Paolo Espino.  Enjoy the broadcast.,Game notesThe Nats Cubs meet first time DC since May The Nats vs Cubs year Chicago winning series Wrigley May Jake Arrieta comes IL face Paolo Espino Enjoy broadcast,1,0
3775,"@Braves7aGainey @ArionNation Nats Covid guy was Turner and he's in LA, half this team wasn't there with Turner 😂😂 My first reaction was  they'd used COVID Il then came the news of his son and the test This is nasty stuff. My mom was a nurse I know what you do  Thank you for risking your life to save others",BravesaGainey ArionNation Nats Covid guy Turner LA half team Turner My first reaction would used COVID Il came news son test This nasty stuff My mom nurse I know Thank risking life save others,1,0
3814,"@duggar_memes @WilIBednar Tauchman is good for 3-2 count then strike out looking on 6th pitch. He is on his way out once the roster crunch happens with us getting La Stella, Belt, then Crawford in that order off IL",duggarmemes WilIBednar Tauchman good count strike looking th pitch He way roster crunch happens us getting La Stella Belt Crawford order IL,1,0
3827,"Tobias Myers tossed 6 quality innings, Taylor Walls tallied 2 hits &amp; Nick Anderson fired a shutout frame as part of his MLB Rehab Assignment.   https://t.co/1XSeYKnJ1Y",Tobias Myers tossed quality innings Taylor Walls tallied hits amp Nick Anderson fired shutout frame part MLB Rehab Assignment httpstcoXSeYKnJY,1,0
3893,Surgery is set for August 31st. It’s a very strange/scary feeling to have atrial fibrillation… But this life has taught me how to be strong and put faith in Gods plan! Ready to get this taken care of and get back to work 💯%,Surgery set August st It strangescary feeling atrial But life taught strong put faith Gods plan Ready get taken care get back work,1,0
3910,"Candace Owens withdrew from a recent event in Texas due to a “sudden illness,” but suggests this test request is due to complying with a small business request for a negative test.  Her most fervent covid-hoaxer followers will be upset she complies for covid test requests.  https://t.co/yrWjQHmcSy",Candace Owens withdrew recent event Texas due sudden illness suggests test request due complying small business request negative test Her fervent covidhoaxer followers upset complies covid test requests httpstcoyrWjQHmcSy,1,0
3927,@NilsHeadley @ChristinaKahrl He usually doesn’t come off the IL hot as he notes. Story explains specifically what he did to address that.,NilsHeadley ChristinaKahrl He usually come IL hot notes Story explains specifically address,1,0
3942,Bigger IL hit to #Cubs bullpen Tuesday:,Bigger IL hit Cubs bullpen Tuesday,1,0
3986,"Alex Bregman (@ABREG_1), in a text message to FOX 26 Sports, on returning to action tomorrow afternoon for the #Astros: “I can’t wait! Big thank you to our trainers, doctors and strength coaches!”",Alex Bregman ABREG text message FOX Sports returning action tomorrow afternoon Astros I wait Big thank trainers doctors strength coaches,1,0
3999,"To answer every every question asked in the last hour about where will he play, where will he bat, when will he come off the IL, and was this a good trade  https://t.co/UOLr3zWL6s",To answer every every question asked last hour play bat come IL good trade httpstcoUOLrzWLs,1,0
